the_geom,unique_id,site_name,on_year,manufac,model,type_tower,MW_turbine,total_ht,tower_h,blade_l,rotor_dia,rotor_s_a,lat_DD,long_DD,state,county,conf_attr,conf_loc,WENDI_name,EIA_name,FAA_jdate,FAA_AGL,FAA_ORS,image_name,image_year,comments
MULTIPOINT ((-104.0628962730001 40.86355793740003)),16499,Cedar Creek 1,2007,Mitsubishi,MWT1000A,monopole,1,98.7,68,29.5,61.4,2960.92,40.8636,-104.0629,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,-99999,-99999,unknown,Bing Maps Aerial,unknown,
MULTIPOINT ((-104.0930954640001 40.86829376180007)),16500,Cedar Creek 1,2006,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,40.8683,-104.0931,CO,Weld,2,2,Cedar Creek,Cedar Creek Wind,-99999,-99999,unknown,Bing Maps Aerial,unknown,
MULTIPOINT ((-103.1457875070001 40.95318017830007)),16501,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9532,-103.1458,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1383060280001 40.93961680760002)),16502,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9396,-103.1383,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1445418750001 40.94269898200002)),16503,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9427,-103.1445,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1495151290001 40.939768640700024)),16504,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9398,-103.1495,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.15506248700012 40.938846909600045)),16505,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9388,-103.1551,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1601053590001 40.93673219960005)),16506,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9367,-103.1601,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.15956042700012 40.9480143402001)),16507,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.948,-103.1596,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1650276690001 40.94477168310001)),16508,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9448,-103.165,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
